"","CD_MUN","year","chik_incidence","denv_incidence","yfv_incidence","zika_incidence"
"119",110020,2019,0.411824711,0.295170501,0,0.380009927
"120",110025,2013,0,0,0,0
"121",110025,2014,0,1.280156617,0,0
"122",110025,2015,0,0.663784912,0,0
"123",110025,2016,0,5.215452883,0,0.047413208
"124",110025,2017,0.264851256,2.086181153,0,0
"125",110025,2018,0,0.688613265,0,0
"126",110025,2019,1.853958792,1.377226531,0,1.483167033
"127",110026,2013,0,0,0,0
"128",110026,2014,0,0.25976923,0,0
"129",110026,2015,0,1.03907692,0,0
"130",110026,2016,0,11.94938458,0,0.25976923
"131",110026,2017,0,0.51953846,0,0
"132",110026,2018,0,0.752273011,0,0
"133",110026,2019,0,0,0,0
"134",110028,2013,0,0.017056,0,0
"135",110028,2014,0,1.176864027,0,0
"136",110028,2015,0,0.545792012,0,0
"137",110028,2016,0,6.259552143,0,0.46051201
"138",110028,2017,0.050930375,1.500928034,0,0
"139",110028,2018,0.033953583,0.254651876,0,0
"140",110028,2019,0.135814334,0.152791125,0,0.084883959
"141",110029,2013,0,0,0,0
"142",110029,2014,0,0.919900715,0,0
"143",110029,2015,0,0.804913125,0,0
"144",110029,2016,0,6.324317413,0,0.459950357
"145",110029,2017,0.134608429,0.229975179,0,0.114987589
"146",110029,2018,0,0.403825287,0,0
"147",110029,2019,0,0,0,0
"148",110030,2013,0,0,0,0
"149",110030,2014,0,0.588401633,0,0
"150",110030,2015,0,4.043696326,0,0
"151",110030,2016,0,3.905985305,0,5.258057142
"152",110030,2017,0.464610585,0.23786449,0,0.976496326
"153",110030,2018,0.183683255,0.129658768,0,0.561854661
"154",110030,2019,0.594269353,0.151268563,0,0.540244867
"155",110032,2013,0,0,0,0
"156",110032,2014,0,0.054014395,0,0
"157",110032,2015,0,0.91824472,0,0
"158",110032,2016,0,2.700719764,0,0
"159",110032,2017,0,0.216057581,0,0
"160",110032,2018,0,0.116168793,0,0
"161",110032,2019,0.058084397,0.116168793,0,0
"162",110033,2013,0,0,0,0
"163",110033,2014,0,0.132633876,0,0
"164",110033,2015,0,0.63001091,0,0
"165",110033,2016,0,5.902207472,0,0.033158469
"166",110033,2017,0,0.265267752,0,0
"167",110033,2018,0,0.110471825,0,0
"168",110033,2019,0.110471825,1.021864383,0,0.027617956
"169",110034,2013,0,0,0,0
"170",110034,2014,0,1.794347583,0,0
"171",110034,2015,0,2.583860519,0,0
"172",110034,2016,0,6.029007878,0,0
"173",110034,2017,0,0.574191226,0,0
"174",110034,2018,0,0.079987313,0,0
"175",110034,2019,0,0,0,0
"176",110037,2013,0,0,0,0
"177",110037,2014,0,1.057332592,0,0
"178",110037,2015,0,1.127821432,0,0
"179",110037,2016,0,1.268799111,0,0.140977679
"180",110037,2017,0.216712137,0.916354913,0,0.211466518
"181",110037,2018,1.011323307,0.144474758,0,0.361186896
"182",110037,2019,1.372510203,2.817257785,0,0.072237379
"183",110040,2013,0,0,0,0
"184",110040,2014,0,1.212685714,0,0
"185",110040,2015,0,0.202114286,0,0
"186",110040,2016,0,1.313742856,0,0
"187",110040,2017,0.090960778,1.263214285,0,0
"188",110040,2018,0.045480389,0.227401946,0,0
"189",110040,2019,0.181921557,0.227401946,0,0
"190",110045,2013,0,0,0,0
"191",110045,2014,0,3.517397819,0,0
"192",110045,2015,0,4.534145626,0,0
"193",110045,2016,0,6.567641239,0,0
"194",110045,2017,0.050364478,3.517397819,0,0.164878023
"195",110045,2018,0,2.568588362,0,0
"196",110045,2019,0,2.190854779,0,0
"197",110050,2013,0,0,0,0
"198",110050,2014,0,2.01546866,0,0
"199",110050,2015,0,1.108507763,0,0
"200",110050,2016,0,6.852593443,0,1.511601495
"201",110050,2017,0,0.403093732,0,0
"202",110050,2018,0,0,0,0
"203",110050,2019,0.226716766,0.113358383,0,0.340075149
"204",110060,2013,0,0,0,0
"205",110060,2014,0,1.075436476,0,0
"206",110060,2015,0,2.150872952,0,0
"207",110060,2016,0,2.150872952,0,0
"208",110060,2017,1.530583146,7.98895668,0,0
"209",110060,2018,0,0,0,0
"210",110060,2019,0,0,0,0
"211",110070,2013,0,0,0,0
"212",110070,2014,0,15.60286498,0,0
"213",110070,2015,0,2.278294444,0,0
"214",110070,2016,0,1.449823737,0,0
"215",110070,2017,0.067535301,2.209255218,0,0
"216",110070,2018,0,0.405211808,0,0
"217",110070,2019,0,0.945494219,0,0
"218",110080,2013,0,0,0,0
"219",110080,2014,0,0.611853004,0,0
"220",110080,2015,0,1.917139414,0,0
"221",110080,2016,0,5.996159443,0,0
"222",110080,2017,0.273532564,1.46844721,0,0
"223",110080,2018,0,0.273532564,0,0
"224",110080,2019,0.170957853,0.61544827,0,0
"225",110090,2013,0,0,0,0
"226",110090,2014,0,0.270709135,0,0
"227",110090,2015,0,0.812127406,0,0
"228",110090,2016,0,7.850564928,0,0
"229",110090,2017,0,1.082836542,0,0
"230",110090,2018,0,0,0,0
"231",110090,2019,0,0.601908491,0,0
"232",110092,2013,0,0,0,0
"233",110092,2014,0,2.030017751,0,0
"234",110092,2015,0,4.589605349,0,0
"235",110092,2016,0,3.265680729,0,1.588709544
"236",110092,2017,0,0.176523283,0,0
"237",110092,2018,0,0,0,0
"238",110092,2019,0,0,0,0
"239",110094,2013,0,0,0,0
"240",110094,2014,0,0.108336216,0,0
"241",110094,2015,0,0.144448288,0,0
"242",110094,2016,0,2.455620891,0,0
"243",110094,2017,0.047721279,2.094500172,0,0
"244",110094,2018,0,0.071581919,0,0
"245",110094,2019,0,0.190885118,0,0
"246",110100,2013,0,0,0,0
"247",110100,2014,0,0.327597443,0,0
"248",110100,2015,0,0.327597443,0,0
"249",110100,2016,0,1.747186361,0,0
"250",110100,2017,0,0.655194885,0,0
"251",110100,2018,0.255218379,0.127609189,0,0
"252",110100,2019,0,0.255218379,0,0
"253",110110,2013,0,0,0,0
"254",110110,2014,0,3.862428151,0,0
"255",110110,2015,0,0.77248563,0,0
"256",110110,2016,0,6.566127856,0,0.128747605
"257",110110,2017,0.118061132,1.28747605,0,0
"258",110110,2018,0,0.236122265,0,0
"259",110110,2019,0,0.826427927,0,0
"260",110120,2013,0,0,0,0
"261",110120,2014,0,0.27593457,0,0
"262",110120,2015,0,7.266276999,0,0
"263",110120,2016,0,2.851323886,0,0.18395638
"264",110120,2017,0.098824596,0.643847329,0,0
"265",110120,2018,0,0,0,0
"266",110120,2019,0,0.098824596,0,0
"267",110130,2013,0,0,0,0
"268",110130,2014,0,0.789246927,0,0
"269",110130,2015,0,0,0,0
"270",110130,2016,0,1.183870391,0,0
"271",110130,2017,0,0.552472849,0,0
"272",110130,2018,0,0,0,0
"273",110130,2019,0,0,0,0
"274",110140,2013,0,0,0,0
"275",110140,2014,0,0.402108527,0,0
"276",110140,2015,0,1.139307493,0,0
"277",110140,2016,0,2.14457881,0,0.067018088
"278",110140,2017,0.065255148,2.010542634,0,0
"279",110140,2018,0,0.39153089,0,0
"280",110140,2019,0,0.783061779,0,0
"281",110143,2013,0,0,0,0
"282",110143,2014,0,0.907115383,0,0
"283",110143,2015,0,1.166291207,0,0
"284",110143,2016,0,1.555054943,0,0
"285",110143,2017,1.537315654,1.166291207,0,0
"286",110143,2018,0,0.279511937,0,0
"287",110143,2019,0,0.139755969,0,0
"288",110145,2013,0,0,0,0
